Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Sathirapongsasuti, Jarupon Fah; Lee, Hane; Horst, Basil AJ; Brunner, Georg; Cochran, Alistair J; Binder, Scott; Quackenbush, John; Nelson, Stanley F; ",Exome sequencing-based copy-number variation and loss of heterozygosity detection: ExomeCNV,Bioinformatics,27,19,2648-2654,2011,Oxford University Press
"Faust, Karoline; Sathirapongsasuti, J Fah; Izard, Jacques; Segata, Nicola; Gevers, Dirk; Raes, Jeroen; Huttenhower, Curtis; ",Microbial co-occurrence relationships in the human microbiome,PLoS computational biology,8,7,e1002606,2012,"Public Library of Science San Francisco, USA"
,A framework for human microbiome research,nature,486,7402,215-221,2012,Nature Publishing Group UK London
,"Structure, function and diversity of the healthy human microbiome",nature,486,7402,207-214,2012,Nature Publishing Group UK London
"Lam, Hilaire C; Cloonan, Suzanne M; Bhashyam, Abhiram R; Haspel, Jeffery A; Singh, Anju; Sathirapongsasuti, J Fah; Cervo, Morgan; Yao, Hongwei; Chung, Anna L; Mizumura, Kenji; ",Histone deacetylase 6–mediated selective autophagy regulates COPD-associated cilia dysfunction,The Journal of clinical investigation,123,12,5212-5230,2013,American Society for Clinical Investigation
"Faust, Karoline; Lima-Mendez, Gipsi; Lerat, Jean-Sébastien; Sathirapongsasuti, Jarupon F; Knight, Rob; Huttenhower, Curtis; Lenaerts, Tom; Raes, Jeroen; ",Cross-biome comparison of microbial association networks,Frontiers in microbiology,6,,1200,2015,Frontiers Media SA
"Minikel, Eric Vallabh; Vallabh, Sonia M; Lek, Monkol; Estrada, Karol; Samocha, Kaitlin E; Sathirapongsasuti, J Fah; McLean, Cory Y; Tung, Joyce Y; Yu, Linda PC; Gambetti, Pierluigi; ",Quantifying prion disease penetrance using large population control cohorts,Science translational medicine,8,322,322ra9-322ra9,2016,American Association for the Advancement of Science
"Schormair, Barbara; Zhao, Chen; Bell, Steven; Tilch, Erik; Salminen, Aaro V; Pütz, Benno; Dauvilliers, Yves; Stefani, Ambra; Högl, Birgit; Poewe, Werner; ",Identification of novel risk loci for restless legs syndrome in genome-wide association studies in individuals of European ancestry: a meta-analysis,The Lancet Neurology,16,11,898-907,2017,Elsevier
"Fejzo, Marlena S; Sazonova, Olga V; Sathirapongsasuti, J Fah; Hallgrímsdóttir, Ingileif B; Vacic, Vladimir; MacGibbon, Kimber W; Schoenberg, Frederic P; Mancuso, Nicholas; Slamon, Dennis J; Mullin, Patrick M; ",Placenta and appetite genes GDF15 and IGFBP7 are associated with hyperemesis gravidarum,Nature communications,9,1,1178,2018,Nature Publishing Group UK London
"Martin, Joanna; Walters, Raymond K; Demontis, Ditte; Mattheisen, Manuel; Lee, S Hong; Robinson, Elise; Brikell, Isabell; Ghirardi, Laura; Larsson, Henrik; Lichtenstein, Paul; ",A genetic investigation of sex bias in the prevalence of attention-deficit/hyperactivity disorder,Biological psychiatry,83,12,1044-1053,2018,Elsevier
"Ganna, Andrea; Verweij, Karin JH; Nivard, Michel G; Maier, Robert; Wedow, Robbee; Busch, Alexander S; Abdellaoui, Abdel; Guo, Shengru; Sathirapongsasuti, J Fah; 23andMe Research Team 16; ",Large-scale GWAS reveals insights into the genetic architecture of same-sex sexual behavior,Science,365,6456,eaat7693,2019,American Association for the Advancement of Science
"Nalls, Mike A; Blauwendraat, Cornelis; Vallerga, Costanza L; Heilbron, Karl; Bandres-Ciga, Sara; Chang, Diana; Tan, Manuela; Kia, Demis A; Noyce, Alastair J; Xue, Angli; ","Identification of novel risk loci, causal insights, and heritable risk for Parkinson's disease: a meta-analysis of genome-wide association studies",The Lancet Neurology,18,12,1091-1102,2019,Elsevier
"Suryamohan, Kushal; Diwanji, Devan; Stawiski, Eric W; Gupta, Ravi; Miersch, Shane; Liu, Jiang; Chen, Chao; Jiang, Ying-Ping; Fellouse, Frederic A; Sathirapongsasuti, J Fah; ",Human ACE2 receptor polymorphisms and altered susceptibility to SARS-CoV-2,Communications biology,4,1,475,2021,Nature Publishing Group UK London
"Stawiski, Eric W; Diwanji, Devan; Suryamohan, Kushal; Gupta, Ravi; Fellouse, Frederic A; Sathirapongsasuti, J Fah; Liu, Jiang; Jiang, Ying-Ping; Ratan, Aakrosh; Mis, Monika; ",Human ACE2 receptor polymorphisms predict SARS-CoV-2 susceptibility,BioRxiv,,,2020.04. 07.024752,2020,Cold Spring Harbor Laboratory
"Morris, John A; Kemp, John P; Youlten, Scott E; Laurent, Laetitia; Logan, John G; Chai, Ryan C; Vulpescu, Nicholas A; Forgetta, Vincenzo; Kleinman, Aaron; Mohanty, Sindhu T; ",An atlas of genetic influences on osteoporosis in humans and mice,Nature genetics,51,2,258-266,2019,Nature Publishing Group US New York
"Karlsson Linnér, Richard; Biroli, Pietro; Kong, Edward; Meddens, S Fleur W; Wedow, Robbee; Fontana, Mark Alan; Lebreton, Maël; Tino, Stephen P; Abdellaoui, Abdel; Hammerschlag, Anke R; ",Genome-wide association analyses of risk tolerance and risky behaviors in over 1 million individuals identify hundreds of loci and shared genetic influences,Nature genetics,51,2,245-257,2019,Nature Publishing Group US New York
"Bao, Erik L; Nandakumar, Satish K; Liao, Xiaotian; Bick, Alexander G; Karjalainen, Juha; Tabaka, Marcin; Gan, Olga I; Havulinna, Aki S; Kiiskinen, Tuomo TJ; Lareau, Caleb A; ",Inherited myeloproliferative neoplasm risk affects haematopoietic stem cells,Nature,586,7831,769-775,2020,Nature Publishing Group UK London
"Liu, Mengzhen; Jiang, Yu; Wedow, Robbee; Li, Yue; Brazel, David M; Chen, Fang; Datta, Gargi; Davila-Velderrain, Jose; McGuire, Daniel; Tian, Chao; ",Association studies of up to 1.2 million individuals yield new insights into the genetic etiology of tobacco and alcohol use,Nature genetics,51,2,237-244,2019,Nature Publishing Group US New York
"Eijsbouts, Chris; Zheng, Tenghao; Kennedy, Nicholas A; Bonfiglio, Ferdinando; Anderson, Carl A; Moutsianas, Loukas; Holliday, Joanne; Shi, Jingchunzi; Shringarpure, Suyash; ","Genome-wide analysis of 53,400 people with irritable bowel syndrome highlights shared genetic pathways with mood and anxiety disorders",Nature genetics,53,11,1543-1552,2021,Nature Publishing Group US New York
"Consortium, Human Microbiome Project; ","Structure, function and diversity of the healthy human microbiome",nature,486,7402,207-214,2012,
